Brand,Model,Year,Engine CC,Power (BHP),Mileage (kmpl),Kms Driven,Fuel Type,Bike Type,Condition,Transmission,Owner Type,Price
Suzuki,Intruder,2015,200,29.7,49.7,42674,Petrol,Cruiser,New,Automatic,1st Owner,53638.4
Honda,Activa,2022,180,18.0,70.8,87005,Petrol,Naked,New,Manual,2nd Owner,43893.13
Harley-Davidson,Road King,2012,250,35.4,24.2,116107,Petrol,Naked,Used,Manual,1st Owner,97748.43
KTM,RC 390,2008,1250,113.1,51.9,23704,Petrol,Sport,New,Automatic,3rd Owner,471222.08
Yamaha,R15,2009,1084,144.3,48.9,80293,Petrol,Scooter,Like New,Automatic,3rd Owner,361009.09
Harley-Davidson,Sportster,2007,1084,75.3,31.3,92291,Electric,Adventure,Used,Automatic,2nd Owner,317886.53
BMW,G310GS,2010,100,7.3,58.6,112737,Petrol,Cruiser,New,Manual,3rd Owner,39251.71
Yamaha,FZS-Fi,2021,150,18.9,37.1,70392,Petrol,Naked,Like New,Automatic,2nd Owner,37574.89
Suzuki,V-Strom,2017,500,46.2,53.9,100602,Petrol,Cruiser,Like New,Manual,1st Owner,85358.53
TVS,Raider 125,2010,390,46.0,31.9,82849,Petrol,Adventure,Like New,Automatic,1st Owner,68414.79
Harley-Davidson,Fat Boy,2024,750,87.2,37.5,100700,Petrol,Naked,Used,Automatic,1st Owner,379712.0
Royal Enfield,Thunderbird,2013,1250,126.4,21.0,53666,Petrol,Naked,New,Automatic,1st Owner,418113.83
KTM,RC 390,2011,650,57.9,48.3,50414,Petrol,Naked,Like New,Manual,2nd Owner,139854.54
KTM,Adventure 390,2005,390,39.0,72.0,4615,Petrol,Commuter,Used,Manual,2nd Owner,96692.74
Honda,Africa Twin,2010,300,42.1,47.2,101448,Petrol,Naked,Like New,Manual,3rd Owner,47333.94
KTM,Duke 125,2012,1000,138.8,29.0,73026,Petrol,Commuter,New,Manual,2nd Owner,407079.94
Kawasaki,Ninja 300,2016,650,98.2,49.9,114459,Petrol,Cruiser,Like New,Manual,1st Owner,297588.18
Yamaha,YZF R1,2013,1340,87.3,15.0,111212,Petrol,Cruiser,Used,Automatic,3rd Owner,429047.76
Honda,CB Shine,2021,1000,72.3,22.0,4593,Petrol,Commuter,Used,Automatic,3rd Owner,157832.03
Royal Enfield,Himalayan,2009,110,16.9,42.6,55804,Petrol,Adventure,Used,Manual,2nd Owner,8000.0
Suzuki,Gixxer,2015,500,60.4,44.9,41843,Petrol,Commuter,New,Manual,1st Owner,125252.87
Royal Enfield,Thunderbird,2005,300,31.1,42.5,71434,Petrol,Cruiser,Used,Manual,3rd Owner,39229.73
Kawasaki,W175,2012,390,50.8,23.3,38179,Petrol,Cruiser,New,Manual,1st Owner,147576.79
Honda,CB Hornet,2017,160,25.1,62.1,9411,Petrol,Adventure,New,Manual,3rd Owner,34857.86
Royal Enfield,Bullet 350,2022,250,32.0,47.7,42604,Petrol,Commuter,New,Automatic,1st Owner,94997.51
BMW,G310R,2017,150,21.8,70.3,11514,Petrol,Sport,Used,Manual,3rd Owner,42686.02
Yamaha,MT-15,2019,883,117.6,22.1,84206,Petrol,Commuter,Used,Automatic,3rd Owner,260836.42
Harley-Davidson,Iron 883,2016,1340,111.4,21.3,26640,Petrol,Naked,New,Manual,2nd Owner,870460.58
Kawasaki,Ninja 300,2021,200,31.6,43.9,26850,Petrol,Scooter,Like New,Automatic,3rd Owner,62920.21
Harley-Davidson,Sportster,2022,180,25.7,60.3,23318,Petrol,Adventure,New,Manual,2nd Owner,127252.7
Yamaha,MT-15,2010,150,21.2,44.1,87124,Petrol,Cruiser,Like New,Manual,2nd Owner,31689.65
KTM,Duke 125,2008,500,67.1,36.3,114448,Petrol,Sport,Like New,Automatic,2nd Owner,196734.8
Ducati,SuperSport,2007,350,55.0,31.6,79746,Petrol,Adventure,Like New,Automatic,2nd Owner,174615.04
TVS,Raider 125,2005,110,14.4,25.2,63374,Petrol,Sport,Like New,Manual,3rd Owner,8000.0
KTM,Duke 125,2018,1084,146.5,22.3,51600,Petrol,Naked,Like New,Automatic,3rd Owner,541892.9
Harley-Davidson,Sportster,2016,883,64.1,22.7,102097,Petrol,Cruiser,Like New,Automatic,3rd Owner,482831.43
TVS,Apache RTR 160,2010,160,22.7,26.1,71123,Petrol,Scooter,Like New,Automatic,1st Owner,8619.83
TVS,Ntorq 125,2007,883,123.2,15.0,39723,Petrol,Cruiser,Used,Manual,2nd Owner,145916.94
Suzuki,Intruder,2017,1084,77.4,15.0,4390,Petrol,Naked,Used,Automatic,3rd Owner,134491.33
Harley-Davidson,Sportster,2007,300,35.2,67.5,108118,Electric,Naked,Like New,Automatic,3rd Owner,208135.48
Harley-Davidson,Road King,2023,110,15.7,45.4,55938,Petrol,Commuter,Used,Manual,3rd Owner,49748.34
Honda,CBR 650R,2005,390,33.1,28.6,98071,Petrol,Naked,New,Manual,1st Owner,71892.51
TVS,Ntorq 125,2014,160,22.4,54.3,95331,Petrol,Naked,New,Automatic,3rd Owner,31735.18
Honda,Activa,2015,110,10.8,65.9,27577,Petrol,Cruiser,Like New,Automatic,1st Owner,8000.0
Yamaha,R15,2016,1084,101.2,42.9,46798,Petrol,Naked,New,Manual,3rd Owner,416002.24
Ducati,Monster,2016,350,27.5,42.4,113323,Petrol,Adventure,New,Automatic,3rd Owner,240321.36
Yamaha,FZS-Fi,2014,250,26.4,40.5,18066,Petrol,Commuter,Used,Automatic,1st Owner,62225.68
Ducati,Scrambler,2018,100,12.8,40.7,11275,Petrol,Cruiser,Used,Manual,3rd Owner,32508.33
TVS,Ntorq 125,2015,200,12.7,41.7,39770,Petrol,Cruiser,New,Automatic,1st Owner,31012.58
Suzuki,V-Strom,2011,100,8.6,34.7,18105,Petrol,Naked,New,Automatic,3rd Owner,8000.0
TVS,Apache RTR 200,2023,390,50.5,62.4,75883,Petrol,Adventure,Used,Automatic,2nd Owner,84662.18
TVS,Apache RTR 160,2023,180,26.2,25.2,80934,Petrol,Cruiser,Used,Automatic,1st Owner,32670.59
BMW,G310GS,2019,160,25.4,66.6,26261,Electric,Adventure,Like New,Automatic,3rd Owner,124618.91
Royal Enfield,Classic 350,2011,350,43.8,62.8,118614,Petrol,Adventure,New,Automatic,2nd Owner,101177.49
Kawasaki,Z900,2017,350,53.0,52.4,12859,Petrol,Sport,Like New,Manual,3rd Owner,153081.78
KTM,Adventure 390,2005,180,26.1,47.3,103722,Petrol,Sport,Used,Manual,3rd Owner,24132.54
Yamaha,YZF R1,2006,500,59.6,41.6,37134,Petrol,Sport,Like New,Automatic,3rd Owner,160269.06
Kawasaki,Z900,2013,500,45.5,67.6,10367,Electric,Adventure,Like New,Automatic,3rd Owner,226199.05
Suzuki,Hayabusa,2022,883,69.2,15.0,20294,Petrol,Cruiser,Like New,Automatic,1st Owner,190998.52
Royal Enfield,Meteor 350,2010,350,50.0,22.7,88770,Petrol,Adventure,New,Manual,3rd Owner,77882.56
Ducati,SuperSport,2018,150,23.0,57.9,20070,Petrol,Adventure,Like New,Manual,1st Owner,67747.83
TVS,Jupiter,2012,650,61.0,58.5,75373,Petrol,Adventure,Like New,Manual,1st Owner,129197.77
Honda,CB Shine,2020,250,26.5,31.8,2115,Electric,Adventure,New,Automatic,3rd Owner,57105.13
Harley-Davidson,Fat Boy,2010,125,9.3,25.7,5907,Petrol,Adventure,New,Automatic,2nd Owner,35789.15
Royal Enfield,Himalayan,2013,750,64.3,54.8,22413,Petrol,Sport,Used,Manual,2nd Owner,121842.92
Suzuki,Access 125,2014,350,26.0,64.0,47757,Petrol,Scooter,Used,Automatic,1st Owner,40635.36
Royal Enfield,Classic 350,2009,100,12.7,50.8,105073,Petrol,Commuter,Used,Manual,1st Owner,8000.0
BMW,G310R,2012,160,24.8,49.1,107761,Petrol,Naked,New,Manual,2nd Owner,121289.66
KTM,RC 390,2008,650,91.4,20.2,14975,Petrol,Naked,Like New,Manual,1st Owner,230155.82
Royal Enfield,Bullet 350,2022,750,61.0,21.5,119552,Petrol,Scooter,Used,Automatic,1st Owner,133756.93
Honda,Africa Twin,2021,300,47.3,35.9,30741,Petrol,Scooter,Like New,Automatic,1st Owner,68796.4
Royal Enfield,Bullet 350,2023,160,25.0,26.6,75378,Petrol,Naked,New,Automatic,3rd Owner,77975.91
BMW,F850GS,2013,1250,109.3,16.7,5621,Petrol,Sport,New,Automatic,2nd Owner,769456.75
Honda,CB Hornet,2007,180,26.6,31.6,97826,Petrol,Sport,Used,Automatic,1st Owner,8000.0
Honda,CB Shine,2022,1084,121.0,28.9,53362,Petrol,Naked,New,Manual,1st Owner,304824.9
Yamaha,FZ-S,2013,150,11.1,47.0,112681,Petrol,Adventure,Like New,Manual,1st Owner,25130.96
TVS,Raider 125,2023,883,90.5,46.6,71511,Petrol,Cruiser,Used,Manual,3rd Owner,172758.05
Honda,CB Shine,2005,1340,91.5,29.7,16063,Petrol,Scooter,New,Automatic,2nd Owner,253536.16
BMW,G310R,2024,1250,154.5,37.6,19049,Petrol,Cruiser,New,Manual,1st Owner,1096006.54
Yamaha,MT-15,2011,390,46.1,56.7,59020,Petrol,Naked,Like New,Automatic,2nd Owner,146961.43
Ducati,Scrambler,2009,110,12.2,25.9,84905,Petrol,Commuter,Like New,Manual,3rd Owner,54322.68
KTM,Adventure 390,2024,350,38.4,71.9,18946,Electric,Cruiser,Like New,Automatic,1st Owner,166212.71
Harley-Davidson,Fat Boy,2016,200,15.2,46.3,45646,Petrol,Sport,New,Automatic,1st Owner,104245.12
Suzuki,Intruder,2015,150,17.5,47.5,82858,Petrol,Scooter,Used,Automatic,2nd Owner,9611.08
Ducati,Monster,2006,110,9.3,47.1,56398,Petrol,Sport,New,Manual,3rd Owner,16681.23
Yamaha,R15,2011,160,21.0,55.2,9497,Petrol,Commuter,New,Automatic,3rd Owner,22261.44
Ducati,Multistrada,2012,300,43.6,34.9,40537,Petrol,Commuter,Used,Automatic,1st Owner,102659.33
Honda,CB Shine,2024,125,18.1,43.3,97954,Petrol,Commuter,Like New,Automatic,2nd Owner,27873.71
Ducati,Monster,2020,750,79.0,41.8,13811,Petrol,Commuter,Used,Manual,2nd Owner,246089.94
Ducati,Scrambler,2016,650,67.7,64.4,10538,Petrol,Naked,Used,Automatic,3rd Owner,312555.07
TVS,Jupiter,2020,883,124.2,51.2,84269,Petrol,Sport,New,Automatic,1st Owner,241411.94
Royal Enfield,Meteor 350,2009,250,18.8,36.6,7531,Petrol,Adventure,Like New,Automatic,3rd Owner,34541.23
Ducati,Multistrada,2024,500,70.1,25.5,2753,Petrol,Scooter,Like New,Automatic,2nd Owner,378576.25
Yamaha,FZ-S,2024,1000,90.7,47.5,19735,Petrol,Sport,Like New,Automatic,1st Owner,323631.53
Royal Enfield,Bullet 350,2021,180,26.4,56.1,105537,Petrol,Sport,Used,Automatic,2nd Owner,35595.97
Yamaha,FZ-S,2010,125,18.3,33.0,86550,Petrol,Sport,Like New,Manual,1st Owner,8000.0
Royal Enfield,Bullet 350,2021,750,49.0,17.3,13670,Petrol,Scooter,Like New,Automatic,2nd Owner,168668.14
Kawasaki,Ninja 300,2024,883,79.3,35.9,6987,Petrol,Cruiser,New,Manual,1st Owner,439956.77
Kawasaki,Ninja 300,2020,150,20.4,48.0,54887,Electric,Scooter,New,Automatic,3rd Owner,68050.66
BMW,G310GS,2006,1084,133.2,19.5,83879,Petrol,Naked,Used,Automatic,1st Owner,418573.93
BMW,F850GS,2015,1084,145.8,19.5,22319,Petrol,Scooter,Used,Automatic,3rd Owner,593745.34
TVS,Apache RTR 160,2012,883,64.4,15.0,72920,Petrol,Sport,Like New,Automatic,1st Owner,161695.73
TVS,Ntorq 125,2013,1000,146.3,36.0,44913,Petrol,Sport,Used,Automatic,3rd Owner,178697.89
Royal Enfield,Bullet 350,2005,1250,158.6,21.0,66101,Electric,Commuter,Like New,Automatic,2nd Owner,444644.29
Suzuki,Access 125,2017,180,17.1,31.8,5487,Petrol,Adventure,Like New,Automatic,3rd Owner,26600.84
Harley-Davidson,Iron 883,2017,883,81.4,43.9,90951,Petrol,Naked,Used,Manual,1st Owner,550216.22
Royal Enfield,Meteor 350,2017,125,18.7,25.2,48207,Electric,Scooter,Like New,Automatic,2nd Owner,25320.86
Yamaha,YZF R1,2022,250,33.5,48.7,66480,Petrol,Sport,New,Automatic,1st Owner,129228.06
Honda,Activa,2012,110,14.3,29.9,62925,Petrol,Scooter,Like New,Automatic,2nd Owner,8000.0
Kawasaki,W175,2015,250,34.2,36.9,2738,Petrol,Cruiser,Used,Automatic,2nd Owner,44971.67
TVS,Ntorq 125,2008,390,58.8,40.3,100759,Petrol,Sport,New,Manual,2nd Owner,76667.98
Kawasaki,W175,2016,1340,189.2,32.1,20785,Petrol,Scooter,New,Automatic,3rd Owner,592906.75
Ducati,Monster,2009,350,22.3,54.6,48971,Petrol,Adventure,Used,Automatic,1st Owner,79262.08
Harley-Davidson,Fat Boy,2006,1084,137.1,28.4,99419,Petrol,Naked,Like New,Manual,2nd Owner,502545.26
BMW,S1000RR,2012,1084,114.8,15.0,108154,Petrol,Cruiser,Like New,Automatic,3rd Owner,532357.65
TVS,Apache RTR 200,2015,300,31.5,56.1,19833,Petrol,Commuter,Like New,Automatic,1st Owner,54004.17
Harley-Davidson,Road King,2011,160,16.3,51.7,27569,Petrol,Commuter,Like New,Automatic,2nd Owner,55829.45
Kawasaki,W175,2018,1084,138.7,48.1,88557,Petrol,Cruiser,Like New,Automatic,3rd Owner,324189.16
BMW,F850GS,2013,100,10.2,44.5,109846,Petrol,Commuter,Used,Manual,3rd Owner,17209.66
TVS,Ntorq 125,2018,300,35.9,57.5,97213,Petrol,Adventure,New,Automatic,3rd Owner,82878.34
BMW,S1000RR,2010,750,80.8,51.2,32119,Petrol,Naked,Used,Manual,1st Owner,418100.38
Suzuki,V-Strom,2011,180,22.5,28.5,19797,Petrol,Sport,New,Automatic,2nd Owner,27423.37
Harley-Davidson,Iron 883,2018,180,20.8,24.0,71697,Petrol,Cruiser,Used,Automatic,3rd Owner,47563.54
Yamaha,FZS-Fi,2023,100,13.9,35.0,4378,Petrol,Scooter,Used,Automatic,3rd Owner,23210.6
Royal Enfield,Meteor 350,2017,300,42.2,48.1,3812,Petrol,Adventure,Used,Manual,1st Owner,69146.25
Harley-Davidson,Iron 883,2015,100,9.8,70.1,24715,Petrol,Adventure,New,Automatic,2nd Owner,40314.77
Harley-Davidson,Fat Boy,2023,300,40.2,57.6,73272,Electric,Commuter,Like New,Automatic,1st Owner,221883.96
Honda,CB Hornet,2016,1250,97.5,21.8,79760,Petrol,Adventure,Like New,Manual,2nd Owner,285155.9
TVS,Apache RTR 160,2017,250,25.5,46.4,74321,Petrol,Sport,New,Automatic,3rd Owner,53766.05
Suzuki,V-Strom,2010,1250,121.7,37.2,64627,Petrol,Scooter,Like New,Automatic,3rd Owner,261094.19
KTM,Adventure 390,2014,100,6.1,41.6,54604,Petrol,Sport,New,Manual,3rd Owner,16162.66
Suzuki,Intruder,2006,180,15.5,34.2,108671,Petrol,Commuter,Like New,Manual,2nd Owner,8000.0
Kawasaki,Z900,2010,500,75.3,65.4,22490,Petrol,Sport,New,Manual,2nd Owner,237586.61
Honda,CB Shine,2024,250,34.6,69.6,90015,Petrol,Commuter,Used,Automatic,3rd Owner,61668.39
Kawasaki,Z900,2010,350,47.1,60.8,56435,Petrol,Naked,New,Automatic,3rd Owner,128973.45
Yamaha,R15,2013,300,36.0,25.8,102746,Petrol,Naked,Used,Automatic,3rd Owner,36496.39
Suzuki,Access 125,2020,650,77.7,22.6,49218,Petrol,Sport,New,Automatic,1st Owner,222570.5
TVS,Apache RTR 200,2019,390,42.2,51.4,24199,Petrol,Sport,Like New,Manual,1st Owner,70885.53
Ducati,Multistrada,2020,390,40.0,29.3,52750,Petrol,Sport,New,Manual,3rd Owner,260514.78
Honda,CB Shine,2023,1340,102.7,15.0,35703,Petrol,Commuter,Used,Manual,1st Owner,166489.15
Kawasaki,Versys 650,2016,100,8.4,38.8,18794,Petrol,Scooter,New,Automatic,2nd Owner,30947.41
Harley-Davidson,Road King,2023,883,66.5,43.4,17126,Petrol,Scooter,Used,Automatic,1st Owner,337375.69
Royal Enfield,Himalayan,2022,150,16.4,51.6,40150,Petrol,Adventure,Used,Manual,2nd Owner,27896.71
Kawasaki,Z900,2010,1340,176.4,31.8,47419,Petrol,Sport,New,Automatic,2nd Owner,624107.45
Royal Enfield,Classic 350,2021,390,61.3,51.6,69613,Petrol,Scooter,Like New,Automatic,1st Owner,123171.71
Harley-Davidson,Fat Boy,2017,180,26.3,20.2,16927,Petrol,Commuter,Used,Automatic,1st Owner,78000.38
BMW,G310R,2023,650,61.9,24.7,46422,Electric,Sport,Like New,Automatic,1st Owner,538826.13
Ducati,Panigale V2,2014,883,128.1,17.0,33523,Petrol,Scooter,New,Automatic,1st Owner,557911.44
Royal Enfield,Classic 350,2014,1340,139.8,29.2,79862,Petrol,Adventure,Used,Manual,3rd Owner,242346.06
Royal Enfield,Himalayan,2006,1340,90.4,23.3,110070,Petrol,Sport,New,Manual,3rd Owner,550125.08
Kawasaki,Z900,2016,200,29.0,49.7,110122,Petrol,Sport,Like New,Manual,2nd Owner,65043.02
Honda,Africa Twin,2009,883,126.4,39.0,52959,Petrol,Scooter,Like New,Automatic,2nd Owner,195260.99
Suzuki,V-Strom,2014,200,17.4,56.8,2430,Petrol,Commuter,Used,Manual,1st Owner,15300.83
Suzuki,Access 125,2008,200,26.3,75.1,15529,Electric,Naked,Used,Automatic,2nd Owner,17548.12
Kawasaki,Ninja 300,2017,500,74.7,31.9,98655,Petrol,Commuter,Used,Automatic,3rd Owner,125538.44
Ducati,Monster,2018,200,29.2,60.0,6398,Petrol,Adventure,New,Automatic,2nd Owner,105696.88
Honda,CB Shine,2020,1340,116.1,15.0,116132,Petrol,Naked,New,Automatic,2nd Owner,359248.22
Suzuki,Access 125,2013,500,47.9,37.9,108492,Petrol,Cruiser,Used,Manual,1st Owner,66465.98
Kawasaki,Ninja ZX-10R,2009,750,94.0,46.1,23169,Petrol,Adventure,Like New,Automatic,1st Owner,297237.94
BMW,F850GS,2021,390,35.9,48.5,35616,Petrol,Adventure,Like New,Automatic,1st Owner,258269.83
Honda,Africa Twin,2012,1000,133.7,36.4,40440,Petrol,Scooter,Like New,Automatic,2nd Owner,243483.57
KTM,RC 390,2013,200,17.1,42.5,71571,Petrol,Scooter,Used,Automatic,2nd Owner,29690.14
Ducati,Panigale V2,2017,1250,121.6,56.7,48700,Petrol,Scooter,New,Automatic,3rd Owner,881533.91
Honda,CB Shine,2009,883,56.6,34.2,14917,Electric,Naked,Used,Automatic,2nd Owner,125436.69
KTM,Adventure 390,2005,350,29.7,65.3,56651,Electric,Sport,New,Automatic,3rd Owner,83160.37
KTM,Duke 390,2011,100,15.3,40.6,3416,Petrol,Adventure,Like New,Manual,3rd Owner,8000.0
Ducati,Scrambler,2023,300,33.1,55.4,59760,Petrol,Naked,Used,Automatic,1st Owner,119483.99
Honda,CBR 650R,2020,200,27.1,51.9,22672,Petrol,Scooter,Like New,Automatic,3rd Owner,55431.36
BMW,S1000RR,2005,350,47.8,49.3,60191,Electric,Scooter,Like New,Automatic,2nd Owner,233805.34
Ducati,Scrambler,2005,750,59.4,33.7,9639,Petrol,Commuter,Like New,Manual,2nd Owner,537772.88
KTM,Duke 125,2007,1340,183.9,48.9,74143,Petrol,Scooter,Used,Automatic,1st Owner,242253.7
Honda,Africa Twin,2018,350,39.7,52.2,21174,Electric,Scooter,Like New,Automatic,3rd Owner,95399.15
Yamaha,R15,2015,350,21.9,51.2,15305,Petrol,Naked,Like New,Automatic,2nd Owner,77487.53
TVS,Jupiter,2022,883,122.4,15.0,70033,Petrol,Cruiser,New,Automatic,3rd Owner,373664.24
Yamaha,FZS-Fi,2022,150,12.3,36.6,51141,Petrol,Scooter,Used,Automatic,3rd Owner,29342.02
KTM,Duke 125,2006,150,16.7,45.4,76642,Petrol,Scooter,New,Automatic,3rd Owner,9576.82
Harley-Davidson,Iron 883,2008,1000,111.3,15.0,83181,Petrol,Adventure,New,Manual,1st Owner,729153.31
Yamaha,FZS-Fi,2010,650,81.9,26.4,72624,Petrol,Cruiser,Used,Automatic,1st Owner,110665.73
KTM,Duke 125,2015,1340,172.2,15.0,12141,Petrol,Naked,New,Automatic,3rd Owner,610248.42
Ducati,Monster,2010,1000,65.7,32.9,70018,Petrol,Sport,New,Manual,2nd Owner,845058.21
Ducati,Panigale V2,2013,300,47.9,32.1,83103,Petrol,Scooter,Used,Automatic,2nd Owner,181509.83
Honda,CB Shine,2010,100,10.1,59.1,86712,Petrol,Commuter,Like New,Automatic,1st Owner,8000.0
Suzuki,Access 125,2019,500,60.5,32.6,75194,Petrol,Scooter,New,Automatic,1st Owner,170798.4
Suzuki,Hayabusa,2012,650,88.7,34.7,40914,Electric,Cruiser,New,Automatic,3rd Owner,147072.82
KTM,Adventure 390,2016,300,28.6,60.5,108905,Petrol,Naked,Like New,Manual,1st Owner,93941.59
Harley-Davidson,Fat Boy,2021,500,50.2,30.6,26397,Petrol,Commuter,Used,Manual,2nd Owner,232588.1
KTM,Adventure 390,2014,1340,180.7,15.0,107532,Petrol,Scooter,New,Automatic,1st Owner,723448.46
KTM,Adventure 390,2010,180,14.2,68.9,50809,Petrol,Sport,Used,Automatic,1st Owner,18505.3
TVS,Raider 125,2009,1340,154.9,44.8,72348,Petrol,Cruiser,Like New,Automatic,2nd Owner,279495.62
TVS,Apache RTR 200,2016,750,52.2,16.0,23131,Electric,Cruiser,Like New,Automatic,1st Owner,140265.5
Kawasaki,W175,2007,160,11.9,71.6,118046,Petrol,Cruiser,New,Automatic,2nd Owner,22041.3
Yamaha,MT-15,2012,110,8.3,66.4,29037,Petrol,Sport,New,Automatic,2nd Owner,15072.62
Suzuki,Gixxer,2023,1250,112.1,25.9,39444,Petrol,Scooter,Like New,Automatic,1st Owner,274065.99
Suzuki,Gixxer,2021,180,27.8,34.3,64001,Petrol,Adventure,Like New,Manual,3rd Owner,44223.12
Suzuki,Intruder,2022,110,13.5,57.7,17763,Petrol,Sport,Used,Automatic,1st Owner,13938.0
Ducati,Monster,2021,750,108.7,44.1,100702,Petrol,Scooter,Like New,Automatic,2nd Owner,335660.87
Royal Enfield,Thunderbird,2013,150,21.8,55.1,86568,Petrol,Scooter,Like New,Automatic,2nd Owner,21803.0
Harley-Davidson,Road King,2011,180,13.4,28.7,30090,Petrol,Naked,Like New,Manual,1st Owner,73287.15
TVS,Raider 125,2007,1340,194.5,15.0,5784,Petrol,Scooter,New,Automatic,2nd Owner,390882.56
Royal Enfield,Bullet 350,2024,100,15.9,61.8,98776,Petrol,Adventure,New,Manual,2nd Owner,54428.44
Harley-Davidson,Road King,2015,125,8.6,57.9,83058,Electric,Scooter,Like New,Automatic,2nd Owner,64206.79
Suzuki,Intruder,2023,500,55.4,20.3,34027,Electric,Sport,Like New,Automatic,2nd Owner,124123.68
Yamaha,FZ-S,2015,883,57.1,24.0,88197,Petrol,Naked,Like New,Manual,2nd Owner,244543.89
Honda,Activa,2005,1340,213.7,17.4,41326,Petrol,Cruiser,New,Automatic,1st Owner,387542.99
KTM,Duke 390,2010,125,13.9,65.4,50650,Petrol,Commuter,Like New,Manual,1st Owner,23902.62
Ducati,Multistrada,2005,883,114.1,41.4,21137,Petrol,Cruiser,New,Automatic,2nd Owner,716270.4
Kawasaki,Z900,2015,750,81.6,22.2,61897,Petrol,Sport,Like New,Manual,2nd Owner,276446.81
KTM,Adventure 390,2006,180,12.2,23.7,92157,Petrol,Naked,Like New,Automatic,1st Owner,9191.22
Suzuki,V-Strom,2017,150,11.8,23.9,74015,Electric,Commuter,Used,Automatic,1st Owner,8643.14
Ducati,Monster,2014,883,95.1,50.9,2871,Petrol,Naked,Used,Manual,2nd Owner,363534.97
Royal Enfield,Thunderbird,2006,1250,123.8,39.5,84461,Petrol,Sport,Used,Manual,2nd Owner,228250.72
BMW,F850GS,2023,300,39.1,43.0,54000,Petrol,Adventure,New,Manual,2nd Owner,219536.96
BMW,F850GS,2005,160,13.1,63.4,2655,Petrol,Adventure,Like New,Automatic,1st Owner,54549.09
BMW,G310R,2017,250,30.8,20.8,1596,Petrol,Commuter,Like New,Manual,3rd Owner,122072.52
KTM,Duke 125,2008,100,6.3,63.0,22114,Electric,Scooter,New,Automatic,3rd Owner,8000.0
Royal Enfield,Himalayan,2010,200,25.0,57.6,61774,Petrol,Cruiser,New,Manual,3rd Owner,38075.62
Honda,Africa Twin,2022,750,105.8,18.1,107287,Petrol,Cruiser,Like New,Automatic,2nd Owner,223725.26
Suzuki,Gixxer,2015,350,40.5,59.5,37896,Petrol,Commuter,Like New,Manual,1st Owner,69620.6
KTM,Duke 125,2017,500,73.3,46.6,110465,Petrol,Cruiser,Used,Automatic,1st Owner,143544.78
Suzuki,Gixxer,2020,1000,91.0,15.0,31267,Petrol,Adventure,New,Automatic,1st Owner,253207.61
Royal Enfield,Thunderbird,2009,750,50.3,57.5,46810,Petrol,Sport,Used,Automatic,1st Owner,225834.79
Yamaha,FZS-Fi,2012,125,9.1,45.2,7573,Petrol,Adventure,Like New,Manual,2nd Owner,9729.14
Kawasaki,W175,2015,350,49.4,41.4,35131,Petrol,Cruiser,New,Manual,3rd Owner,174681.53
Harley-Davidson,Sportster,2006,390,61.0,60.3,10979,Petrol,Naked,Like New,Automatic,2nd Owner,343556.32
Ducati,SuperSport,2011,750,64.8,33.1,26033,Petrol,Scooter,Like New,Automatic,2nd Owner,462513.44
KTM,Duke 200,2016,883,76.4,15.1,98291,Petrol,Adventure,Like New,Manual,3rd Owner,380362.86
Yamaha,YZF R1,2010,180,25.0,21.4,28944,Petrol,Commuter,Like New,Automatic,1st Owner,28257.44
Ducati,Multistrada,2013,110,16.1,31.2,31966,Petrol,Adventure,Used,Automatic,3rd Owner,36144.55
Harley-Davidson,Road King,2012,180,11.2,30.8,18940,Electric,Commuter,Like New,Automatic,1st Owner,57651.07
Honda,CB Shine,2018,200,23.8,34.5,38948,Petrol,Cruiser,Used,Manual,3rd Owner,22348.91
Harley-Davidson,Street 750,2015,125,16.1,39.2,118032,Petrol,Adventure,Used,Automatic,3rd Owner,42772.4
Kawasaki,Ninja 300,2005,100,13.2,57.4,32724,Petrol,Commuter,New,Automatic,3rd Owner,8000.0
Harley-Davidson,Road King,2019,200,26.6,37.8,66852,Petrol,Sport,Used,Automatic,2nd Owner,72875.99
Honda,CB Hornet,2022,500,61.5,19.5,81025,Petrol,Naked,Like New,Automatic,1st Owner,114410.73
Harley-Davidson,Street 750,2006,160,16.9,66.9,114341,Petrol,Cruiser,Like New,Manual,2nd Owner,42825.09
Honda,CBR 650R,2010,100,15.5,65.7,105993,Petrol,Cruiser,Like New,Automatic,2nd Owner,8000.0
Harley-Davidson,Street 750,2015,1000,108.4,43.2,29019,Petrol,Scooter,Like New,Automatic,3rd Owner,714445.09
Royal Enfield,Bullet 350,2007,300,35.9,49.6,77737,Petrol,Cruiser,Used,Manual,2nd Owner,52624.8
Ducati,Scrambler,2014,200,26.4,28.1,34219,Petrol,Sport,New,Manual,1st Owner,116320.9
KTM,Duke 200,2008,390,50.1,47.4,33461,Electric,Scooter,New,Automatic,1st Owner,126961.89
Suzuki,Access 125,2011,1340,133.7,52.8,65735,Petrol,Scooter,New,Automatic,2nd Owner,338834.97
Harley-Davidson,Iron 883,2021,1084,100.8,36.4,59515,Petrol,Naked,Like New,Automatic,1st Owner,726631.97
Yamaha,FZS-Fi,2021,110,10.0,46.9,91976,Petrol,Naked,Like New,Automatic,2nd Owner,35990.37
KTM,RC 390,2017,100,11.4,59.7,58672,Petrol,Naked,Used,Manual,3rd Owner,24899.22
